BPM:
144

BLANK:
0

NOTE:
5,0,0:5,0
5,0,0:6,0

7,0,0:5,0
7,0,0:6,0

8,0,0:5,0
8,0,0:6,0

9,0,0:5,2
9,0,0:6,4

10,0,0:5,1
10,0,0:6,3

10,2,0:5,3
10,2,0:6,5

11,0,0:5,0
11,0,0:6,2

11,2,0:5,2
11,2,0:6,4

12,0,0:5,0
12,0,0:6,2

13,0,0:1,0
13,0,0:2,1
13,0,0:3,2
13,0,0:4,3
13,0,0:5,0

13,2,0:1,0
13,2,0:2,1
13,2,0:3,2
13,2,0:4,3
13,2,0:5,0

14,0,0:1,0
14,0,0:2,1
14,0,0:3,2
14,0,0:4,3
14,0,0:5,0

14,2,0:1,0
14,2,0:2,1
14,2,0:3,2
14,2,0:4,3
14,2,0:5,0

15,0,0:1,0
15,0,0:2,0
15,0,0:3,0
15,0,0:4,0
15,0,0:5,2
15,0,0:6,0

15,2,0:1,0
15,2,0:2,0
15,2,0:3,0
15,2,0:4,0
15,2,0:5,2
15,2,0:6,0

16,0,0:1,0
16,0,0:2,1
16,0,0:3,2
16,0,0:4,2
16,0,0:5,0
16,0,0:6,0

16,2,0:1,0
16,2,0:2,1
16,2,0:3,2
16,2,0:4,2
16,2,0:5,0
16,2,0:6,0

17,0,0:1,0
17,0,0:2,1
17,0,0:3,2
17,0,0:4,3
17,0,0:5,0

17,2,0:1,0
17,2,0:2,1
17,2,0:3,2
17,2,0:4,3
17,2,0:5,0  

18,0,0:1,0
18,0,0:2,0
18,0,0:3,0
18,0,0:4,0
18,0,0:5,2
18,0,0:6,0

18,2,0:1,0
18,2,0:2,1
18,2,0:3,2
18,2,0:4,2
18,2,0:5,0
18,2,0:6,0

19,0,0:1,1
19,0,0:2,1
19,0,0:3,2
19,0,0:4,0
19,0,0:5,0

19,2,0:1,3
19,2,0:2,0
19,2,0:3,0
19,2,0:4,0
19,2,0:5,2
19,2,0:6,3

20,0,0:1,0
20,0,0:2,1
20,0,0:3,2
20,0,0:4,0
20,0,0:5,3
20,0,0:6,0

20,2,0:1,3
20,2,0:2,2
20,2,0:3,3
20,2,0:4,2

21,0,0:1,0
21,0,0:2,1
21,0,0:3,2
21,0,0:4,3
21,0,0:5,0

21,2,0:1,0
21,2,0:2,1
21,2,0:3,2
21,2,0:4,3
21,2,0:5,0

22,0,0:1,0
22,0,0:2,1
22,0,0:3,2
22,0,0:4,3
22,0,0:5,0

22,2,0:1,0
22,2,0:2,1
22,2,0:3,2
22,2,0:4,3
22,2,0:5,0

23,0,0:1,0
23,0,0:2,0
23,0,0:3,0
23,0,0:4,0
23,0,0:5,2
23,0,0:6,0

23,2,0:1,0
23,2,0:2,0
23,2,0:3,0
23,2,0:4,0
23,2,0:5,2
23,2,0:6,0

24,0,0:1,0
24,0,0:2,1
24,0,0:3,2
24,0,0:4,2
24,0,0:5,0
24,0,0:6,0

24,2,0:1,0
24,2,0:2,1
24,2,0:3,2
24,2,0:4,2
24,2,0:5,0
24,2,0:6,0

25,0,0:1,0
25,0,0:2,1
25,0,0:3,2
25,0,0:4,3
25,0,0:5,0

25,2,0:1,0
25,2,0:2,1
25,2,0:3,2
25,2,0:4,3
25,2,0:5,0  

26,0,0:1,0
26,0,0:2,0
26,0,0:3,0
26,0,0:4,0
26,0,0:5,2
26,0,0:6,0

26,2,0:1,0
26,2,0:2,1
26,2,0:3,2
26,2,0:4,2
26,2,0:5,0
26,2,0:6,0

27,0,0:1,1
27,0,0:2,1
27,0,0:3,2
27,0,0:4,0
27,0,0:5,0

27,2,0:1,3
27,2,0:2,0
27,2,0:3,0
27,2,0:4,0
27,2,0:5,2
27,2,0:6,3

28,0,0:1,0
28,0,0:2,1
28,0,0:3,2
28,0,0:4,0
28,0,0:5,3
28,0,0:6,0

28,2,0:1,3
28,2,0:2,2
28,2,0:3,3
28,2,0:4,2
